Data,Estado,Mortos,Feridos,Total
05/07/2019,Illinois,0,5,5
05/07/2019,Nevada,1,3,4
05/07/2019,Arkansas,4,0,4
05/07/2019,Massachusetts,0,6,6
04/07/2019,Illinois,1,3,4
04/07/2019,California,0,4,4
04/07/2019,Illinois,0,4,4
04/07/2019,California,1,3,4
03/07/2019,Texas,2,3,5
02/07/2019,Illinois,0,4,4
02/07/2019,Missouri,0,4,4
01/07/2019,Maryland,0,4,4
30/06/2019,California,0,4,4
30/06/2019,California,0,5,5
30/06/2019,Texas,2,2,4
30/06/2019,New York,0,6,6
29/06/2019,Louisiana,0,7,7
29/06/2019,Connecticut,0,4,4
29/06/2019,Illinois,0,5,5
28/06/2019,Georgia,0,7,7
28/06/2019,New Jersey,0,4,4
28/06/2019,Connecticut,0,5,5
28/06/2019,Minnesota,0,5,5
27/06/2019,Georgia,0,7,7
26/06/2019,Ohio,1,3,4
23/06/2019,California,5,0,5
23/06/2019,South Carolina,3,1,4
23/06/2019,Ohio,0,5,5
23/06/2019,California,1,3,4
23/06/2019,Indiana,1,10,11
22/06/2019,Pennsylvania,0,4,4
22/06/2019,Virginia,0,4,4
22/06/2019,Maryland,1,4,5
21/06/2019,Michigan,1,3,4
21/06/2019,California,0,5,5
21/06/2019,Illinois,0,4,4
20/06/2019,Pennsylvania,0,10,10
18/06/2019,New Jersey,1,6,7
17/06/2019,Texas,1,1,2
17/06/2019,Texas,0,4,4
17/06/2019,Tennessee,0,5,5
16/06/2019,Pennsylvania,1,7,8
16/06/2019,Kentucky,1,6,7
16/06/2019,Iowa,0,6,6
15/06/2019,Louisiana,0,4,4
15/06/2019,Iowa,4,0,4
12/06/2019,North Carolina,1,3,4
11/06/2019,Georgia,2,2,4
11/06/2019,Colorado,0,4,4
09/06/2019,Tennessee,1,3,4
09/06/2019,New York,0,4,4
09/06/2019,Ohio,1,3,4
08/06/2019,Washington,5,0,5
08/06/2019,Illinois,0,4,4
07/06/2019,Texas,0,5,5
06/06/2019,Illinois,1,3,4
05/06/2019,California,0,4,4
01/06/2019,Virginia,1,3,4
01/06/2019,Illinois,0,4,4
01/06/2019,Illinois,0,4,4
01/06/2019,Georgia,0,5,5
01/06/2019,Georgia,0,4,4
01/06/2019,South Carolina,0,5,5
31/05/2019,Virginia,13,4,17
30/05/2019,Illinois,0,5,5
29/05/2019,Texas,2,3,5
27/05/2019,New Jersey,1,5,6
27/05/2019,"Washington, D.C.",0,5,5
26/05/2019,California,1,3,4
26/05/2019,Virginia,0,5,5
26/05/2019,"Washington, D.C.",1,3,4
26/05/2019,Illinois,2,3,5
25/05/2019,Oklahoma,0,5,5
25/05/2019,Maryland,0,4,4
25/05/2019,Virginia,1,9,10
25/05/2019,New Jersey,0,10,10
20/05/2019,Louisiana,1,4,5
20/05/2019,Ohio,0,4,4
20/05/2019,Oklahoma,2,2,4
19/05/2019,Oregon,0,5,5
18/05/2019,Mississippi,1,5,6
18/05/2019,Iowa,2,2,4
18/05/2019,Alabama,1,8,9
18/05/2019,California,1,5,6
18/05/2019,North Carolina,1,5,6
18/05/2019,Indiana,0,7,7
17/05/2019,California,1,4,5
16/05/2019,Ohio,0,4,4
15/05/2019,Louisiana,0,4,4
13/05/2019,Missouri,4,1,5
13/05/2019,Louisiana,0,4,4
11/05/2019,New Jersey,0,4,4
11/05/2019,Pennsylvania,0,4,4
10/05/2019,Missouri,0,6,6
10/05/2019,Pennsylvania,0,5,5
08/05/2019,Indiana,0,4,4
07/05/2019,Colorado,1,8,9
05/05/2019,New Jersey,1,4,5
05/05/2019,California,0,6,6
04/05/2019,Missouri,1,4,5
04/05/2019,Indiana,0,4,4
04/05/2019,Delaware,0,4,4
03/05/2019,Maryland,0,4,4
03/05/2019,Maryland,0,5,5
03/05/2019,Texas,1,3,4
01/05/2019,Massachusetts,1,3,4
30/04/2019,North Carolina,2,4,6
28/04/2019,Ohio,4,0,4
28/04/2019,Tennessee,0,7,7
28/04/2019,Alabama,0,4,4
28/04/2019,Maryland,1,7,8
27/04/2019,Mississippi,1,3,4
27/04/2019,Michigan,0,4,4
27/04/2019,California,1,3,4
26/04/2019,Oklahoma,0,4,4
21/04/2019,Pennsylvania,0,4,4
21/04/2019,California,0,4,4
20/04/2019,Tennessee,0,7,7
20/04/2019,Texas,0,4,4
19/04/2019,Kansas,0,4,4
18/04/2019,Kentucky,0,4,4
16/04/2019,Maryland,1,3,4
14/04/2019,California,0,4,4
14/04/2019,California,1,3,4
14/04/2019,Florida,2,2,4
12/04/2019,Illinois,0,4,4
11/04/2019,Arizona,3,2,5
11/04/2019,California,1,4,5
11/04/2019,Maryland,0,4,4
09/04/2019,Missouri,0,4,4
07/04/2019,Louisiana,0,4,4
07/04/2019,Indiana,2,3,5
07/04/2019,North Carolina,0,6,6
07/04/2019,Delaware,0,6,6
06/04/2019,Illinois,0,6,6
06/04/2019,Florida,0,4,4
04/04/2019,Florida,1,3,4
04/04/2019,Georgia,3,2,5
02/04/2019,Mississippi,0,4,4
02/04/2019,Kentucky,0,5,5
31/03/2019,Illinois,1,4,5
31/03/2019,Georgia,1,4,5
31/03/2019,South Carolina,0,7,7
28/03/2019,Maryland,0,4,4
25/03/2019,Nevada,0,5,5
24/03/2019,California,1,5,6
24/03/2019,Arizona,0,7,7
19/03/2019,Arizona,2,4,6
17/03/2019,Georgia,0,4,4
17/03/2019,Nevada,0,4,4
17/03/2019,Georgia,1,3,4
16/03/2019,New Jersey,1,3,4
15/03/2019,Alabama,2,3,5
14/03/2019,Montana,1,3,4
13/03/2019,Illinois,1,3,4
11/03/2019,New Jersey,0,4,4
10/03/2019,Colorado,1,4,5
10/03/2019,Louisiana,0,4,4
03/03/2019,California,0,4,4
03/03/2019,Illinois,0,6,6
02/03/2019,Arkansas,1,4,5
28/02/2019,Illinois,4,0,4
28/02/2019,California,1,4,5
22/02/2019,Alabama,2,2,4
21/02/2019,Kentucky,2,2,4
21/02/2019,Maryland,1,4,5
21/02/2019,Texas,2,2,4
20/02/2019,Tennessee,0,4,4
18/02/2019,Michigan,4,0,4
17/02/2019,Indiana,0,5,5
17/02/2019,Texas,2,2,4
17/02/2019,Louisiana,1,5,6
16/02/2019,Mississippi,4,0,5
15/02/2019,Illinois,6,6,12
14/02/2019,Florida,2,2,4
11/02/2019,Texas,5,0,5
09/02/2019,Virginia,0,4,4
06/02/2019,New York,1,3,4
06/02/2019,Ohio,1,3,4
05/02/2019,Texas,2,2,4
04/02/2019,"Washington, D.C.",0,5,5
04/02/2019,Louisiana,0,4,4
03/02/2019,Illinois,2,5,7
01/02/2019,California,0,4,4
28/01/2019,Texas,2,4,6
27/01/2019,Alabama,0,5,5
26/01/2019,New Jersey,1,3,4
26/01/2019,Indiana,0,5,5
26/01/2019,Georgia,0,4,4
26/01/2019,Louisiana,5,0,5
24/01/2019,Pennsylvania,4,1,5
24/01/2019,Georgia,4,1,5
23/01/2019,Florida,5,0,5
20/01/2019,Florida,0,4,4
19/01/2019,South Carolina,1,4,5
19/01/2019,Florida,3,2,5
19/01/2019,Pennsylvania,0,4,4
19/01/2019,Illinois,0,4,4
19/01/2019,Texas,3,2,5
17/01/2019,Kentucky,3,1,4
16/01/2019,Florida,1,5,6
16/01/2019,California,3,1,4
15/01/2019,Arkansas,1,4,5
13/01/2019,Arizona,1,5,6
06/01/2019,New Mexico,0,4,4
04/01/2019,Virginia,3,2,5
04/01/2019,Texas,1,3,4
04/01/2019,California,3,4,7
03/01/2019,Texas,3,1,4
02/01/2019,Arkansas,1,3,4
01/01/2019,South Carolina,0,5,5
01/01/2019,Florida,0,5,5
31/12/2020,Indiana,1,3,4
31/12/2020,Oregon,0,4,4
27/12/2020,United States Virgin Islands,0,4,4
26/12/2020,Massachusetts,1,5,6
26/12/2020,Illinois,3,3,6
26/12/2020,Florida,2,2,4
26/12/2020,Florida,1,3,4
25/12/2020,Florida,1,4,5
